pH ,8.9,pH,9.3,pH,8.8
0.02 M KHCO3,,0.1 M KHCO3,,0.5 M KHCO3,
E(V vs. SHE),j (mA/cm2),E(V vs. SHE),j (mA/cm2),E(V vs. SHE),j (mA/cm2)
-0.62407,-0.00441,-0.59455,-0.00204,-0.74777,-0.00513
-0.62006,-0.00434,-0.59056,-0.00198,-0.74379,-0.00509
-0.61604,-0.00427,-0.58656,-0.00193,-0.7398,-0.00503
-0.61205,-0.00418,-0.58256,-0.00192,-0.73577,-0.00499
-0.60804,-0.00411,-0.57854,-0.00188,-0.73178,-0.00496
-0.60404,-0.00404,-0.57455,-0.00183,-0.72778,-0.00491
-0.60004,-0.00396,-0.57054,-0.0018,-0.72377,-0.00483
-0.59603,-0.00389,-0.56654,-0.00175,-0.71978,-0.00476
-0.59203,-0.00381,-0.56254,-0.0017,-0.71576,-0.0047
-0.58803,-0.00372,-0.55852,-0.00166,-0.71176,-0.00462
-0.58405,-0.00368,-0.55452,-0.00163,-0.70777,-0.00454
-0.58002,-0.00361,-0.55056,-0.00159,-0.70379,-0.00447
-0.57602,-0.00354,-0.54657,-0.00159,-0.6998,-0.00438
-0.57204,-0.00347,-0.54256,-0.00154,-0.69576,-0.00431
-0.56803,-0.00338,-0.53854,-0.00147,-0.69178,-0.00424
-0.56404,-0.00332,-0.53455,-0.00148,-0.68777,-0.00419
-0.56002,-0.00326,-0.53054,-0.00144,-0.68377,-0.00415
-0.55601,-0.00318,-0.52655,-0.00141,-0.67977,-0.00411
-0.55202,-0.0031,-0.52255,-0.00138,-0.67576,-0.00406
-0.54805,-0.00301,-0.51853,-0.0013,-0.67176,-0.00402
-0.54405,-0.00294,-0.51453,-0.00124,-0.66779,-0.00399
-0.54003,-0.00287,-0.51057,-0.00118,-0.66379,-0.00391
-0.53604,-0.0028,-0.50656,-0.00113,-0.65978,-0.00389
-0.53203,-0.00272,-0.50255,-0.00108,-0.65577,-0.00386
-0.52804,-0.00265,-0.49854,-0.00106,-0.65178,-0.00382
-0.52403,-0.00255,-0.49455,-0.00102,-0.64778,-0.00377
-0.52001,-0.00249,-0.49054,-9.20E-04,-0.64378,-0.00372
-0.51602,-0.00242,-0.48581,-8.71E-04,-0.63977,-0.00367
-0.51203,-0.00235,-0.48102,-8.29E-04,-0.63576,-0.0036
-0.50806,-0.00227,-0.47702,-7.99E-04,-0.63176,-0.00354
-0.50404,-0.00217,-0.47304,-7.79E-04,-0.62779,-0.00347
-0.50002,-0.00213,-0.46906,-7.18E-04,-0.62379,-0.00338
-0.49603,-0.00206,-0.46505,-6.74E-04,-0.61976,-0.00329
-0.49203,-0.00199,-0.46103,-6.14E-04,-0.61575,-0.00322
-0.48803,-0.00192,-0.45702,-6.03E-04,-0.61176,-0.00314
-0.48403,-0.00186,-0.45303,-5.46E-04,-0.60775,-0.00308
-0.48001,-0.00177,-0.44904,-5.04E-04,-0.60376,-0.00303
-0.47602,-0.00174,-0.44503,-4.84E-04,-0.59974,-0.00298
-0.47204,-0.00167,-0.44101,-4.61E-04,-0.59574,-0.00294
-0.46806,-0.00161,-0.43702,-4.39E-04,-0.59175,-0.00289
