Au(110),,Au(111),,Au(100),
E(V vs. RHE),j (mA/cm2),E(V vs. RHE),j (mA/cm2),E(V vs. RHE),j (mA/cm2)
-0.0623,-0.00207,-0.06223,-7.13E-04,-0.15208,-0.00114
-0.06328,-0.00204,-0.06324,-7.33E-04,-0.15309,-0.00116
-0.06428,-0.00206,-0.06425,-7.06E-04,-0.15409,-0.00116
-0.06526,-0.00205,-0.06524,-7.33E-04,-0.15509,-0.00119
-0.06627,-0.00205,-0.06625,-7.21E-04,-0.15609,-0.00116
-0.06726,-0.00205,-0.06726,-7.20E-04,-0.15709,-0.00117
-0.06827,-0.00206,-0.06824,-7.26E-04,-0.15809,-0.00117
-0.06929,-0.00205,-0.06926,-7.26E-04,-0.15908,-0.00115
-0.07027,-0.00205,-0.07025,-7.17E-04,-0.16009,-0.00116
-0.0713,-0.00205,-0.07125,-7.26E-04,-0.1611,-0.00116
-0.07228,-0.00205,-0.07223,-7.23E-04,-0.16209,-0.00115
-0.07326,-0.00205,-0.07323,-7.27E-04,-0.16308,-0.00118
-0.07427,-0.00206,-0.07423,-7.27E-04,-0.16411,-0.00119
-0.0753,-0.00206,-0.07525,-7.22E-04,-0.16509,-0.00117
-0.07629,-0.00206,-0.07626,-7.33E-04,-0.16609,-0.00117
-0.07728,-0.00205,-0.07726,-7.24E-04,-0.1671,-0.00116
-0.07828,-0.00205,-0.07826,-7.27E-04,-0.16811,-0.00117
-0.07929,-0.00205,-0.07927,-7.34E-04,-0.1691,-0.00117
-0.08029,-0.00206,-0.08023,-7.15E-04,-0.17008,-0.00117
-0.08129,-0.00207,-0.08127,-7.35E-04,-0.1711,-0.00117
-0.08231,-0.00205,-0.08225,-7.36E-04,-0.17211,-0.00119
-0.08328,-0.00206,-0.08326,-7.21E-04,-0.17308,-0.00117
-0.08429,-0.00205,-0.08423,-7.29E-04,-0.17409,-0.00118
-0.0853,-0.00206,-0.08527,-7.34E-04,-0.17511,-0.00119
-0.08631,-0.00205,-0.08627,-7.30E-04,-0.17609,-0.00119
-0.0873,-0.00206,-0.08726,-7.27E-04,-0.1771,-0.0012
-0.08827,-0.00206,-0.08824,-7.36E-04,-0.17809,-0.00119
-0.08928,-0.00206,-0.08926,-7.29E-04,-0.17909,-0.00119
-0.09029,-0.00205,-0.09024,-7.36E-04,-0.18009,-0.00121
-0.09129,-0.00205,-0.09126,-7.24E-04,-0.18108,-0.00121
-0.09229,-0.00206,-0.09225,-7.40E-04,-0.18208,-0.00119
-0.09329,-0.00205,-0.09325,-7.30E-04,-0.18307,-0.00121
-0.09429,-0.00207,-0.09424,-7.40E-04,-0.18407,-0.00121
-0.09529,-0.00206,-0.09523,-7.30E-04,-0.18507,-0.00121
-0.09631,-0.00207,-0.09624,-7.31E-04,-0.18608,-0.00122
-0.09728,-0.00206,-0.09728,-7.35E-04,-0.18708,-0.00122
