Ar,sat,pCO2(atm),0.1,pCO2(atm),0.2,pCO2(atm),0.3,pCO2(atm),0.5,pCO2(atm),0.6,pCO2(atm),1
pH,9.3,pH,7.76,pH,7.41,pH,7.29,pH,7.08,pH,7,pH,6.81
E(V vs. SHE),j (mA/cm2),E(V vs. SHE),j (mA/cm2),E(V vs. SHE),j (mA/cm2),E(V vs. SHE),j (mA/cm2),E(V vs. SHE),j (mA/cm2),E(V vs. SHE),j (mA/cm2),E(V vs. SHE),j (mA/cm2)
-1.02733,-0.05206,-0.93276,-0.35787,-0.90604,-0.40659,-0.90868,-0.57686,-0.88955,-0.57719,-0.88868,-0.6083,-0.44953,-0.00133
-1.03136,-0.05425,-0.93658,-0.37236,-0.90948,-0.42847,-0.91268,-0.61316,-0.89288,-0.6114,-0.89271,-0.65245,-0.45053,-0.00135
-1.03537,-0.05633,-0.94036,-0.38687,-0.91282,-0.45061,-0.91668,-0.64995,-0.89621,-0.6473,-0.89676,-0.69856,-0.45153,-0.00134
-1.03937,-0.05866,-0.94403,-0.40038,-0.91618,-0.47227,-0.92074,-0.68718,-0.89964,-0.68597,-0.90079,-0.74631,-0.45251,-0.00135
-1.04338,-0.06093,-0.94784,-0.41407,-0.91949,-0.49506,-0.92475,-0.72641,-0.90305,-0.72447,-0.90479,-0.7968,-0.45353,-0.00135
-1.04741,-0.06336,-0.95174,-0.42753,-0.92282,-0.51801,-0.92876,-0.7645,-0.90612,-0.76089,-0.90882,-0.84786,-0.45451,-0.00135
-1.05142,-0.06588,-0.95549,-0.44071,-0.92622,-0.54067,-0.9328,-0.80276,-0.90889,-0.79497,-0.91286,-0.90107,-0.45553,-0.00135
-1.05544,-0.06855,-0.95935,-0.45309,-0.92971,-0.56522,-0.9368,-0.84214,-0.91197,-0.83321,-0.91687,-0.95688,-0.45654,-0.00135
-1.05942,-0.07126,-0.9631,-0.46498,-0.93318,-0.58882,-0.94078,-0.8813,-0.91534,-0.87538,-0.9209,-1.01374,-0.45753,-0.00135
-1.06343,-0.07416,-0.96684,-0.47611,-0.93647,-0.61168,-0.9448,-0.91977,-0.91861,-0.91743,-0.92496,-1.07144,-0.45853,-0.00135
-1.06746,-0.07712,-0.97055,-0.48705,-0.9398,-0.63401,-0.94883,-0.95966,-0.92156,-0.95608,-0.92896,-1.13261,-0.45954,-0.00135
-1.07146,-0.08025,-0.97418,-0.49732,-0.94325,-0.65699,-0.95285,-0.99827,-0.92456,-0.99775,-0.933,-1.19174,-0.46052,-0.00134
-1.07548,-0.08349,-0.97786,-0.50712,-0.94679,-0.68205,-0.95687,-1.03619,-0.92798,-1.04436,-0.93705,-1.25759,-0.46154,-0.00137
-1.07949,-0.08687,-0.98152,-0.51631,-0.95026,-0.70374,-0.96091,-1.07217,-0.9311,-1.08639,-0.94107,-1.31565,-0.46252,-0.00134
-1.08352,-0.0904,-0.9853,-0.52545,-0.95361,-0.72584,-0.9649,-1.10975,-0.93411,-1.12918,-0.94511,-1.38248,-0.46352,-0.00135
