Index,Voltage,Concentration
6,0.285270791,1.41E-07
6,0.24716755,2.46E-07
6,0.211811841,4.26E-07
6,0.181524749,6.75E-07
6,0.155572028,1.03E-06
6,0.133338023,1.44E-06
6,0.11428783,1.86E-06
6,0.097964659,2.22E-06
6,0.083977386,2.45E-06
6,0.0719897,2.57E-06
6,0.06171515,2.57E-06
6,0.05290701,2.58E-06
6,0.045355989,2.58E-06
6,0.038882669,2.58E-06
6,0.033333237,2.59E-06
6,0.028575834,2.59E-06
6,0.02449742,2.59E-06
6,0.004215191,2.44E-06
6,0.003613588,2.44E-06
6,0.003097848,2.45E-06
6,0.002655715,2.45E-06
6,0.002276685,2.45E-06
6,0.001951751,2.46E-06
6,0.001673224,2.39E-06
6,0.001434468,2.28E-06
6,0.001229737,2.28E-06
6,0.001054246,2.22E-06
6,0.000903813,2.11E-06
6,0.000774845,2.01E-06
6,0.000664286,1.89E-06
6,0.000569508,1.75E-06
6,0.000488266,1.56E-06
6,0.000418621,1.35E-06
6,0.000358922,1.11E-06
6,0.000307751,8.56E-07
6,0.000263897,5.87E-07
6,0.000228811,3.62E-07
6,0.000202807,2.15E-07
6,0.00018374,1.47E-07
6,0.000155862,7.72E-08
6,0.000133628,6.83E-08
7,10.36687404,4.21E-05
7,8.887287872,4.22E-05
7,7.618871937,4.23E-05
7,3.065698346,4.62E-05
7,2.592350417,5.00E-05
7,2.222269306,5.33E-05
7,1.905020571,5.68E-05
7,1.633036698,6.19E-05
7,1.399868332,6.87E-05
7,1.199969064,7.83E-05
7,1.028595279,9.19E-05
7,0.881682654,0.000110252
7,0.755727066,0.000139194
7,0.669473312,0.000185099
7,0.486502953,0.000272246
7,0.416971433,0.000382652
7,0.357405028,0.000480379
7,0.306351523,0.000592932
7,0.26260292,0.000683895
7,0.225106193,0.000766846
7,0.192970279,0.000817239
7,0.165423969,0.00085631
7,0.141810962,0.00088717
7,0.121571347,0.000888513
7,0.104215954,0.000946902
7,0.071701487,0.000908597
7,0.061467123,0.000930767
7,0.052693771,0.000948107
7,0.045173184,0.000949543
7,0.038725954,0.000950981
7,0.033198889,0.000952422
7,0.028460661,0.000953864
7,0.024398684,0.000955309
7,0.020916443,0.000956756
7,0.017931196,0.000958205
7,0.015372011,0.000959656
7,0.013178079,0.00096111
7,0.011297271,0.000962565
7,0.009684896,0.000964023
7,0.008302643,0.000965483
7,0.007117669,0.000966946
7,0.006101818,0.00096841
7,0.005230951,0.000969877
7,0.004484463,0.000944297
7,0.003844459,0.000935104
7,0.003295768,0.00093652
7,0.002825388,0.000937938
7,0.002422142,0.000939359
7,0.002076448,0.000940782
7,0.001780092,0.000942207
7,0.001526033,0.000943634
7,0.001397486,0.00094445
7,0.000535922,0.000900736
7,0.000450855,0.000852747
7,0.000381684,0.000816466
7,0.000327224,0.000764115
7,0.000280535,0.00071512
7,0.000240511,0.000654315
7,0.000206206,0.000562615
7,0.0001768,0.000462393
7,0.000151602,0.000328118
7,0.000132905,0.000190813
7,0.00012584,0.000110923
7,0.000120037,5.74E-05
7,0.000119184,4.27E-05
7,0.000116658,1.82E-05
7,0.000115429,1.01E-05
7,0.000115472,5.80E-06
7,0.000115516,3.33E-06
7,0.00011556,1.92E-06
7,0.000115604,1.10E-06
7,0.000115647,6.33E-07
7,0.000115707,2.99E-07
7,0.000115791,1.03E-07
7,0.000115835,5.91E-08
7,0.000115879,3.40E-08
7,0.000115923,1.95E-08
7,0.000115967,1.12E-08
7,0.00011601,6.45E-09
7,0.000116054,3.71E-09
7,0.000116098,2.13E-09
7,0.000116142,1.23E-09
7,0.000116186,7.05E-10
7,0.00011623,4.05E-10
7,0.000116274,2.33E-10
7,0.000116318,1.34E-10
7,0.000116362,7.70E-11
7,0.000116423,3.56E-11
7,6.362457593,4.09E-05
7,5.504482333,4.44E-05
7,4.67339571,4.39E-05
7,3.796612812,4.55E-05
